d,s,m,param_count
20,18,4,14765
20,18,6,20669
20,18,8,26573
20,18,10,32477
20,18,12,38381
20,18,14,44285
25,3,2,3081
25,6,2,3735
25,6,4,4407
25,9,2,4713
25,9,4,6207
25,9,6,7701
25,9,8,9195
25,12,2,6015
25,12,4,8655
25,12,6,11295
25,12,8,13935
25,12,10,16575
25,15,2,7641
25,15,4,11751
25,15,6,15861
25,15,8,19971
25,15,10,24081
25,15,12,28191
25,15,14,32301
25,18,2,9591
25,18,4,15495
25,18,6,21399
25,18,8,27303
25,18,10,33207
25,18,12,39111
25,18,14,45015
25,21,2,11865
25,21,4,19887
25,21,6,27909
25,21,8,35931
25,21,10,43953
25,24,2,14463
25,24,4,24927
