d,s,m,psnr,param_count
4,3,2,29.28,645
8,3,2,29.94,1109
12,3,2,30.0,1573
8,6,2,29.9,1661
16,3,2,29.99,2037
12,6,2,30.13,2149
8,6,4,29.86,2333
20,3,2,30.03,2501
16,6,2,30.13,2637
12,6,4,30.1,2821
24,3,2,30.04,2965
12,9,2,30.15,3049
20,6,2,30.07,3125
16,6,4,30.26,3309
28,3,2,30.1,3429
16,9,2,30.15,3561
24,6,2,30.2,3613
20,6,4,30.12,3797
32,3,2,30.0,3893
20,9,2,30.28,4073
28,6,2,30.15,4101
24,6,4,30.13,4285
36,3,2,30.03,4357
12,9,4,30.11,4543
24,9,2,30.23,4585
32,6,2,30.18,4589
28,6,4,30.19,4773
16,12,2,30.31,4809
40,3,2,30.03,4821
16,9,4,30.18,5055
36,6,2,30.23,5077
28,9,2,30.19,5097
32,6,4,30.18,5261
20,12,2,30.22,5345
40,6,2,30.14,5565
20,9,4,30.36,5567
32,9,2,30.13,5609
36,6,4,30.19,5749
24,12,2,30.23,5881
12,9,6,30.31,6037
24,9,4,30.31,6079
36,9,2,30.17,6121
40,6,4,30.16,6237
16,15,2,30.33,6381
28,12,2,30.3,6417
16,9,6,30.39,6549
28,9,4,30.29,6591
40,9,2,30.27,6633
20,15,2,30.25,6941
32,12,2,30.18,6953
20,9,6,30.32,7061
32,9,4,30.29,7103
16,12,4,30.44,7449
36,12,2,30.34,7489
24,15,2,30.31,7501
12,9,8,30.32,7531
24,9,6,30.27,7573
36,9,4,30.41,7615
20,12,4,30.4,7985
40,12,2,30.33,8025
16,9,8,30.16,8043
28,15,2,30.34,8061
28,9,6,30.31,8085
40,9,4,30.32,8127
24,12,4,30.37,8521
20,9,8,30.24,8555
32,9,6,30.38,8597
32,15,2,30.41,8621
20,18,2,30.33,8861
28,12,4,30.45,9057
24,9,8,30.27,9067
36,9,6,30.33,9109
36,15,2,30.32,9181
24,18,2,30.39,9445
28,9,8,30.32,9579
32,12,4,30.39,9593
40,9,6,30.33,9621
40,15,2,30.4,9741
28,18,2,30.38,10029
16,12,6,30.42,10089
32,9,8,30.17,10091
36,12,4,30.43,10129
16,15,4,30.42,10491
36,9,8,30.39,10603
32,18,2,30.28,10613
20,12,6,30.38,10625
40,12,4,30.45,10665
20,15,4,30.38,11051
40,9,8,30.38,11115
24,12,6,30.21,11161
36,18,2,30.34,11197
24,15,4,30.45,11611
28,12,6,30.41,11697
24,21,2,30.36,11713
40,18,2,30.29,11781
28,15,4,30.44,12171
32,12,6,30.43,12233
28,21,2,30.38,12321
16,12,8,30.43,12729
32,15,4,30.43,12731
36,12,6,30.43,12769
